,Peso_de_muestra_vegetal_(g),Cantidad_de_N_en_muestra_vegetal_(g),Cantidad_de_C_en_muestra_vegetal_(g),Porcentaje_N_de_la_muestra_vegetal,Porcentaje_C_de_la_muestra_vegetal,Peso_de_muestra_de_fruto_(g),Cantidad_de_N_en_muestra_de_fruto_(g),Cantidad_de_C_en_muestra_de_fruto_(g),Porcentaje_N_de_la_muestra_fruto,Porcentaje_C_de_la_muestra_fruto,Nitrógeno_total_en_planta,Carbono_total_en_planta,Nitrógeno_total_en_fruto,Carbono_total_en_fruto,N1,N2,N3,N4,Primer_peso_fresco_hoja,Primer_peso_fresco_de_raíz,Primer_peso_fresco_planta,Primer_peso_seco_hoja,Primer_peso_seco_de_raíz,Primer_peso_seco_planta,Harvest_Index_S_(His),Root_Index_(Ri),CHLOR,FLV,ANT,NBI,NDVI,PhipII
399,0.0807,0.00157,0.0276,1.94717,34.14634,0.2014,0.00429,0.093,2.12985,46.19362,1.9629863692688974,34.5085501858736,0.25633495531281036,5.556911618669315,224.93237962653706,174.06824523402761,0.024984299999999997,978.224904169135,12.166,2.492,14.657999999999998,0.64,0.83,1.47,0.10655781252767102,0.11245506224874705,26.524,0.635,0.226,41.75,0.61719035551879,0.84
400,0.0826,0.0021,0.0293,2.54313,35.44094,0.1063,0.00246,0.048,2.31284,45.1722,3.4016949152542373,47.46174334140436,0.20216895578551272,3.9447601128880527,476.985043212226,108.20876059295101,0.0231284,1193.748320498116,20.098,1.1039999999999999,21.201999999999998,2.14,0.257,2.3970000000000002,0.061289779424145485,0.11576022899478026,27.021,0.486,0.212,55.59,0.634892209622339,0.797
401,0.0804,0.0016,0.0258,1.99398,32.04726,0.1301,0.00325,0.0593,2.49843,45.54455,1.0567164179104478,17.039552238805967,0.1655476556495004,3.0206079938508843,216.20019499302677,328.8580553381307,0.021298499999999995,1514.305793414966,9.3,1.7,11.0,0.822,0.123,0.945,0.11095484454266916,0.09710851038893632,20.573,0.615,0.253,33.43,0.608619478245446,0.861
402,0.0835,0.00195,0.0275,2.33461,32.99265,0.1717,0.0033,0.0775,1.92144,45.11496,2.354011976047904,33.19760479041916,0.20240128130460103,4.753363424577752,194.9064919010969,240.47266035394534,0.016784900000000002,786.7029359378744,10.61,1.556,12.166,0.842,0.112,0.954,0.09459180282221481,0.06197734683062219,25.777,0.545,0.215,47.33,0.624273222250032,0.88
403,0.0819,0.00165,0.0253,2.02058,30.94491,0.1408,0.00313,0.0627,2.2221,44.55617,2.50018315018315,38.33614163614163,0.20140482954545455,4.034531250000001,307.7952581663802,173.90850882539414,0.022221,1189.4504515433775,11.212,1.1099999999999999,12.322,1.051,0.164,1.2149999999999999,0.06803844998498049,0.09237008110543708,29.995,0.535,0.199,56.01,0.634732650832044,0.841
404,0.0834,0.00233,0.0278,2.7957,33.29316,0.1831,0.00307,0.0802,1.67849,43.82783,2.1204676258992805,25.3,0.13301097760786454,3.4747493173129436,303.13505174425904,205.25229137728047,0.0192144,1195.503904132898,13.6,2.5,16.1,1.065,0.169,1.234,0.09462860687318836,0.071570861116744,26.066,0.575,0.24,45.37,0.654872785185443,0.828
405,0.0795,0.00144,0.0295,1.80758,37.09354,0.1555,0.00285,0.0704,1.83227,45.27952,1.7370566037735853,35.58553459119497,0.010190353697749198,0.25171961414791,344.9183386855553,238.26782631564012,0.022122199999999998,1818.0674975421925,16.024,2.388,18.412,1.591,0.234,1.825,0.005764286306709795,0.1181886041303807,19.231,0.569,0.255,33.8,0.551573669792713,0.799
406,0.08,0.00187,0.0274,2.34284,34.22528,0.1301,0.0028,0.0592,2.14837,45.46862,2.9569375,43.32625,0.018336664104534973,0.38768946963873946,515.671180250992,9.761606412369435,0.021483699999999998,108.14420004663533,27.708,3.8299999999999996,31.538,2.62,0.351,2.971,0.006690118726050631,0.1044349519442176,23.615,0.558,0.241,42.32,0.624101731941019,0.807
407,0.0819,0.00205,0.0276,2.49806,33.69755,0.1594,0.00353,0.0729,2.21222,45.75423,2.7333333333333334,36.8,0.3080445420326224,6.361599749058972,268.15027768929275,12.250423398158754,0.0183227,60.18923464500436,14.069999999999999,1.286,15.356,1.27,0.183,1.453,0.11298838437170013,0.09422467711802454,21.299,0.6,0.255,35.48,0.578165954999945,0.803
408,0.082,0.00226,0.0287,2.75306,34.94931,0.1328,0.00328,0.0614,2.47045,46.24075,2.1221951219512194,26.950000000000003,0.08382771084337348,1.5692138554216868,281.4175197070153,75.15994507919294,0.024248799999999997,512.894257553032,12.85,1.95,14.799999999999999,0.92,0.148,1.068,0.042217080876682335,0.11194865288454361,23.973,0.625,0.221,38.37,0.635275951032261,0.862
